year,fips,democrat,green,nonaffiliated,republican,votetotal,percent
2000,6053,67618,5059,1096,43761,117534,20.29795634
2000,6055,28097,2471,523,20633,51724,14.43043848
2000,6057,17670,3287,524,25998,47479,17.54038628
2000,6059,391819,26833,10954,541299,970905,15.39594502
2000,6061,42449,4449,1066,69835,117799,23.24807511
2000,6063,3458,456,144,6343,10401,27.73771753
2000,6065,202576,11678,4918,231955,451127,6.512356831
2000,6067,212792,17659,5480,195619,431550,3.979376666
2000,6069,9131,535,150,7015,16831,12.57203969
2000,6071,214749,11775,6612,221757,454893,1.540582071
2000,6073,437666,33979,11253,475736,958634,3.971275795
2000,6075,241578,24828,1884,51496,319786,59.44037575
2000,6077,79776,4195,1495,81773,167239,1.194099462
2000,6079,44526,6523,978,56859,108886,11.32652499
2000,6081,166757,10433,1913,80296,259399,33.3312773
2000,6083,73411,8664,1406,71493,154974,1.237626957
2000,6085,332490,19072,7817,188750,548129,26.2237539
2000,6087,66618,10844,1261,29627,108350,34.14028611
2000,6089,20127,2131,1008,43278,66544,34.79051455
2000,6091,540,86,49,1172,1847,34.21765024
2000,6093,6323,872,426,12198,19819,29.64327161
2000,6095,75116,3869,1146,51604,131735,17.84795233
2000,6097,117295,14324,1858,63529,197006,27.29155457
2000,6099,56448,3398,1233,67188,128267,8.373159113
2000,6101,8416,594,204,17350,26564,33.63198314
2000,6103,6507,697,380,13270,20854,32.43022921
2000,6105,1932,396,129,3340,5797,24.28842505
2000,6107,33006,1834,908,54070,89818,23.45186934
2000,6109,9359,949,247,13172,23727,16.07029966
2000,6111,133258,10235,3026,136173,282692,1.031157585
2000,6113,33747,4107,525,23057,61436,17.40022137
2000,6115,5546,507,236,9838,16127,26.61375333
2000,8001,54132,4165,1994,47561,107852,6.092608389
2000,8003,2455,265,82,2857,5659,7.103728574
2000,8005,82614,6952,2608,97768,189942,7.978224932
2000,8007,1432,265,73,2988,4758,32.70281631
2000,8009,531,47,37,1663,2278,49.69271291
2000,8011,783,44,40,1096,1963,15.94498217
2000,8013,69983,16498,2272,50873,139626,13.68656267
2000,8015,2768,459,83,4300,7610,20.13140604
